subject	rt	evidence_id	evidence	item	response	slide_number_in_experiment	screenW	screenH	OS	Browser	language	enjoyment	gender	age	comments	asses	time_in_minutes
19	6753	evidence5	Sie wissen, dass sich die Nachbarn gerade einen Hund angeschafft haben.	hund	0.56	6	1536	864	Windows	Firefox	Deutsch	1	Male	60		Yes	1.35996666667
20	15590	evidence3	Sie haben Kopfhörer auf und hören Musik, sehen aber aus dem Fenster und beobachten, wie der Postbote vor der Nachbarstür einen Satz nach hinten macht.	hund	0.91	3	1438	808	Windows	Mozilla	Deutsch	2	Female	71		Yes	1.93108333333
20	10605	evidence5	Sie haben Hunger.	abendessen	0.44	4	1438	808	Windows	Mozilla	Deutsch	2	Female	71		Yes	1.93108333333
20	7994	evidence4	Sie haben im Internet den Wetterbericht gelesen, in dem stand, dass es regnen würde.	regen	0.66	5	1438	808	Windows	Mozilla	Deutsch	2	Female	71		Yes	1.93108333333
20	12115	evidence2	Sie berühren die Kaffeetasse und stellen fest, dass sie kalt ist.	kaffee	0.64	6	1438	808	Windows	Mozilla	Deutsch	2	Female	71		Yes	1.93108333333
21	19233	evidence4	Sie haben im Internet den Wetterbericht gelesen, in dem stand, dass es regnen würde.	regen	0.74	3	1920	1080	Windows	Mozilla	Deutsch	2	Male	32		Yes	1.42813333333
21	11278	evidence3	Sie haben Kopfhörer auf und hören Musik, sehen aber aus dem Fenster und beobachten, wie der Postbote vor der Nachbarstür einen Satz nach hinten macht.	hund	0.83	4	1920	1080	Windows	Mozilla	Deutsch	2	Male	32		Yes	1.42813333333
21	12385	evidence2	Sie berühren die Kaffeetasse und stellen fest, dass sie kalt ist.	kaffee	0.8	5	1920	1080	Windows	Mozilla	Deutsch	2	Male	32		Yes	1.42813333333
21	12386	evidence2	Ihr/e Partner/in sagt, dass das Abendessen fertig ist.	abendessen	1	6	1920	1080	Windows	Mozilla	Deutsch	2	Male	32		Yes	1.42813333333
22	15542	evidence1	Sie trinken einen Schluck Kaffee und stellen fest, dass er kalt ist.	kaffee	1	3	1366	768	Windows	Firefox	Deutsch	1	Female	36		Yes	1.29753333333
22	16055	evidence2	Sie können hören, wie Wasser auf das Dach prasselt.	regen	0.93	4	1366	768	Windows	Firefox	Deutsch	1	Female	36		Yes	1.29753333333
22	8145	evidence5	Sie wissen, dass sich die Nachbarn gerade einen Hund angeschafft haben.	hund	0.47	5	1366	768	Windows	Firefox	Deutsch	1	Female	36		Yes	1.29753333333
22	15422	evidence4	Sie vernehmen den Geruch von Essen, der aus dem Esszimmer kommt.	abendessen	0.93	6	1366	768	Windows	Firefox	Deutsch	1	Female	36		Yes	1.29753333333
23	16248	evidence3	Sie wissen, dass der Kaffee seit einer Stunde auf dem Tisch steht.	kaffee	0.92	3	1280	960	Windows	Chrome	deutsch	2	Male	58		Yes	1.51973333333
23	8897	evidence2	Ihr/e Partner/in sagt, dass das Abendessen fertig ist.	abendessen	0.99	4	1280	960	Windows	Chrome	deutsch	2	Male	58		Yes	1.51973333333
23	17528	evidence4	Sie haben Kopfhörer auf und hören Musik, wissen aber, dass der Hund der Nachbarn abends oft bellt.	hund	0.78	5	1280	960	Windows	Chrome	deutsch	2	Male	58		Yes	1.51973333333
23	10167	evidence3	Sie sehen, wie jemand mit nassen Haaren und durchnässten Kleidern von draußen hereinkommt.	regen	0.87	6	1280	960	Windows	Chrome	deutsch	2	Male	58		Yes	1.51973333333
24	55122	evidence2	Sie können hören, wie Wasser auf das Dach prasselt.	regen	0.87	3	1024	768	Windows	Chrome	Deutsch	2	Male	47		Yes	2.74505
24	20871	evidence4	Sie vernehmen den Geruch von Essen, der aus dem Esszimmer kommt.	abendessen	0.87	4	1024	768	Windows	Chrome	Deutsch	2	Male	47		Yes	2.74505
24	12795	evidence2	Sie hören einen Hund bellen.	hund	0.74	5	1024	768	Windows	Chrome	Deutsch	2	Male	47		Yes	2.74505
24	31164	evidence3	Sie wissen, dass der Kaffee seit einer Stunde auf dem Tisch steht.	kaffee	1	6	1024	768	Windows	Chrome	Deutsch	2	Male	47		Yes	2.74505
25	21949	evidence3	Sie haben Kopfhörer auf und hören Musik, sehen aber aus dem Fenster und beobachten, wie der Postbote vor der Nachbarstür einen Satz nach hinten macht.	hund	0.63	3	1600	900	Windows	Chrome	Deutsch	2	Male	32		Yes	2.3365
25	18850	evidence2	Sie berühren die Kaffeetasse und stellen fest, dass sie kalt ist.	kaffee	0.05	4	1600	900	Windows	Chrome	Deutsch	2	Male	32		Yes	2.3365
25	17461	evidence3	Sie wissen, dass das Abendessen normalerweise um 18 Uhr fertig ist. Ein Blick auf die Uhr zeigt, dass es gerade 18 Uhr ist.	abendessen	0.59	5	1600	900	Windows	Chrome	Deutsch	2	Male	32		Yes	2.3365
25	15136	evidence1	Sie sehen aus dem Fenster und beobachten, wie Regentropfen vom Himmel fallen.	regen	1	6	1600	900	Windows	Chrome	Deutsch	2	Male	32		Yes	2.3365
26	8043	evidence2	Sie hören einen Hund bellen.	hund	1	3	1366	768	Windows	Chrome	Deutsch	2	Male	48		Yes	0.98635
26	11611	evidence4	Sie haben im Internet den Wetterbericht gelesen, in dem stand, dass es regnen würde.	regen	0.68	4	1366	768	Windows	Chrome	Deutsch	2	Male	48		Yes	0.98635
26	11320	evidence1	Sie haben gerade das Abendessen zubereitet und auf den Tisch gestellt.	abendessen	1	5	1366	768	Windows	Chrome	Deutsch	2	Male	48		Yes	0.98635
26	8088	evidence2	Sie berühren die Kaffeetasse und stellen fest, dass sie kalt ist.	kaffee	1	6	1366	768	Windows	Chrome	Deutsch	2	Male	48		Yes	0.98635
27	22127	evidence4	Sie haben im Internet den Wetterbericht gelesen, in dem stand, dass es regnen würde.	regen	0.71	3	1920	1080	Windows	Firefox	deutsch	1	Male	47		Yes	1.3795
27	8543	evidence1	Sie haben gerade das Abendessen zubereitet und auf den Tisch gestellt.	abendessen	1	4	1920	1080	Windows	Firefox	deutsch	1	Male	47		Yes	1.3795
27	16895	evidence3	Sie haben Kopfhörer auf und hören Musik, sehen aber aus dem Fenster und beobachten, wie der Postbote vor der Nachbarstür einen Satz nach hinten macht.	hund	0.36	5	1920	1080	Windows	Firefox	deutsch	1	Male	47		Yes	1.3795
27	11751	evidence5	Sie sehen, dass die Tasse nicht isoliert ist.	kaffee	0.73	6	1920	1080	Windows	Firefox	deutsch	1	Male	47		Yes	1.3795
28	19008	evidence3	Sie wissen, dass der Kaffee seit einer Stunde auf dem Tisch steht.	kaffee	1	3	1920	1080	Windows	Chrome	Deutsch	2	Male	30		Yes	1.21173333333
28	16141	evidence5	Sie wissen, dass sich die Nachbarn gerade einen Hund angeschafft haben.	hund	0.48	4	1920	1080	Windows	Chrome	Deutsch	2	Male	30		Yes	1.21173333333
28	11880	evidence1	Sie sehen aus dem Fenster und beobachten, wie Regentropfen vom Himmel fallen.	regen	0.98	5	1920	1080	Windows	Chrome	Deutsch	2	Male	30		Yes	1.21173333333
28	9278	evidence1	Sie haben gerade das Abendessen zubereitet und auf den Tisch gestellt.	abendessen	1	6	1920	1080	Windows	Chrome	Deutsch	2	Male	30		Yes	1.21173333333
29	11639	evidence5	Sie sehen, dass die Tasse nicht isoliert ist.	kaffee	0.48	3	1920	1200	Windows	Firefox		-1				Yes	0.631583333333
29	5217	evidence5	Sie haben heute Vormittag dunkle Wolken am Himmel gesehen.	regen	0.48	4	1920	1200	Windows	Firefox		-1				Yes	0.631583333333
29	6232	evidence2	Sie hören einen Hund bellen.	hund	0.49	5	1920	1200	Windows	Firefox		-1				Yes	0.631583333333
29	7311	evidence4	Sie vernehmen den Geruch von Essen, der aus dem Esszimmer kommt.	abendessen	1	6	1920	1200	Windows	Firefox		-1				Yes	0.631583333333
30	11967	evidence5	Sie wissen, dass sich die Nachbarn gerade einen Hund angeschafft haben.	hund	0.47	3	1920	1080	Windows	Chrome	deutsch	2	Female	54		Yes	0.874183333333
30	7352	evidence3	Sie wissen, dass der Kaffee seit einer Stunde auf dem Tisch steht.	kaffee	0.84	4	1920	1080	Windows	Chrome	deutsch	2	Female	54		Yes	0.874183333333
30	6849	evidence4	Sie haben im Internet den Wetterbericht gelesen, in dem stand, dass es regnen würde.	regen	0.36	5	1920	1080	Windows	Chrome	deutsch	2	Female	54		Yes	0.874183333333
30	6311	evidence3	Sie wissen, dass das Abendessen normalerweise um 18 Uhr fertig ist. Ein Blick auf die Uhr zeigt, dass es gerade 18 Uhr ist.	abendessen	0.44	6	1920	1080	Windows	Chrome	deutsch	2	Female	54		Yes	0.874183333333
31	18139	evidence3	Sie haben Kopfhörer auf und hören Musik, sehen aber aus dem Fenster und beobachten, wie der Postbote vor der Nachbarstür einen Satz nach hinten macht.	hund	0.98	3	1600	900	Windows	Chrome	deutsch	2	Female	61		Yes	1.15993333333
31	13629	evidence5	Sie sehen, dass die Tasse nicht isoliert ist.	kaffee	0.97	4	1600	900	Windows	Chrome	deutsch	2	Female	61		Yes	1.15993333333
31	8484	evidence3	Sie wissen, dass das Abendessen normalerweise um 18 Uhr fertig ist. Ein Blick auf die Uhr zeigt, dass es gerade 18 Uhr ist.	abendessen	0.78	5	1600	900	Windows	Chrome	deutsch	2	Female	61		Yes	1.15993333333
31	7910	evidence5	Sie haben heute Vormittag dunkle Wolken am Himmel gesehen.	regen	0.5	6	1600	900	Windows	Chrome	deutsch	2	Female	61		Yes	1.15993333333
32	5168	evidence3	Sie wissen, dass der Kaffee seit einer Stunde auf dem Tisch steht.	kaffee	0.61	3	1920	1080	Windows	Chrome	deutscch	2	Male	28		Yes	0.450983333333
32	997	evidence1	Sie haben gerade das Abendessen zubereitet und auf den Tisch gestellt.	abendessen	0.45	4	1920	1080	Windows	Chrome	deutscch	2	Male	28		Yes	0.450983333333
32	1353	evidence3	Sie haben Kopfhörer auf und hören Musik, sehen aber aus dem Fenster und beobachten, wie der Postbote vor der Nachbarstür einen Satz nach hinten macht.	hund	0.59	5	1920	1080	Windows	Chrome	deutscch	2	Male	28		Yes	0.450983333333
32	976	evidence5	Sie haben heute Vormittag dunkle Wolken am Himmel gesehen.	regen	0.37	6	1920	1080	Windows	Chrome	deutscch	2	Male	28		Yes	0.450983333333
33	7082	evidence1	Sie haben gerade das Abendessen zubereitet und auf den Tisch gestellt.	abendessen	0.99	3	1280	800	Windows	Firefox	deutsch	2	Female	45		Yes	0.7851
33	8523	evidence3	Sie haben Kopfhörer auf und hören Musik, sehen aber aus dem Fenster und beobachten, wie der Postbote vor der Nachbarstür einen Satz nach hinten macht.	hund	1	4	1280	800	Windows	Firefox	deutsch	2	Female	45		Yes	0.7851
33	5095	evidence5	Sie haben heute Vormittag dunkle Wolken am Himmel gesehen.	regen	0.65	5	1280	800	Windows	Firefox	deutsch	2	Female	45		Yes	0.7851
33	5895	evidence5	Sie sehen, dass die Tasse nicht isoliert ist.	kaffee	0.51	6	1280	800	Windows	Firefox	deutsch	2	Female	45		Yes	0.7851
34	12695	evidence2	Ihr/e Partner/in sagt, dass das Abendessen fertig ist.	abendessen	0.91	3	1600	900	Windows	Chrome	deutsch	2	Female	24		Yes	1.88925
34	10752	evidence3	Sie wissen, dass der Kaffee seit einer Stunde auf dem Tisch steht.	kaffee	0.9	4	1600	900	Windows	Chrome	deutsch	2	Female	24		Yes	1.88925
34	12467	evidence3	Sie sehen, wie jemand mit nassen Haaren und durchnässten Kleidern von draußen hereinkommt.	regen	0.93	5	1600	900	Windows	Chrome	deutsch	2	Female	24		Yes	1.88925
34	16344	evidence3	Sie haben Kopfhörer auf und hören Musik, sehen aber aus dem Fenster und beobachten, wie der Postbote vor der Nachbarstür einen Satz nach hinten macht.	hund	0.67	6	1600	900	Windows	Chrome	deutsch	2	Female	24		Yes	1.88925
35	19681	evidence1	Sie haben gerade das Abendessen zubereitet und auf den Tisch gestellt.	abendessen	0.98	3	1280	800	Mac	Safari	Türkisch	1	Female	25		Confused	2.1077
35	15360	evidence1	Sie schauen aus dem Fenster und sehen Struppi, den Hund der Nachbarn, wie er am Zaun steht und bellt.	hund	0.99	4	1280	800	Mac	Safari	Türkisch	1	Female	25		Confused	2.1077
35	18420	evidence2	Sie berühren die Kaffeetasse und stellen fest, dass sie kalt ist.	kaffee	1	5	1280	800	Mac	Safari	Türkisch	1	Female	25		Confused	2.1077
35	17628	evidence3	Sie sehen, wie jemand mit nassen Haaren und durchnässten Kleidern von draußen hereinkommt.	regen	0.83	6	1280	800	Mac	Safari	Türkisch	1	Female	25		Confused	2.1077
36	34603	evidence1	Sie haben gerade das Abendessen zubereitet und auf den Tisch gestellt.	abendessen	0.98	3	1280	768	Windows	Chrome	Urdu	2	Female	22		Confused	2.59898333333
36	16920	evidence4	Sie haben im Internet den Wetterbericht gelesen, in dem stand, dass es regnen würde.	regen	0.67	4	1280	768	Windows	Chrome	Urdu	2	Female	22		Confused	2.59898333333
36	20292	evidence2	Sie berühren die Kaffeetasse und stellen fest, dass sie kalt ist.	kaffee	0.72	5	1280	768	Windows	Chrome	Urdu	2	Female	22		Confused	2.59898333333
36	28098	evidence4	Sie haben Kopfhörer auf und hören Musik, wissen aber, dass der Hund der Nachbarn abends oft bellt.	hund	0.52	6	1280	768	Windows	Chrome	Urdu	2	Female	22		Confused	2.59898333333
37	58978	evidence1	Sie schauen aus dem Fenster und sehen Struppi, den Hund der Nachbarn, wie er am Zaun steht und bellt.	hund	1	3	1920	1080	Windows	Chrome	Englisch, Hebräisch	1	Female	47		Yes	5.1174
37	25306	evidence1	Sie trinken einen Schluck Kaffee und stellen fest, dass er kalt ist.	kaffee	1	4	1920	1080	Windows	Chrome	Englisch, Hebräisch	1	Female	47		Yes	5.1174
37	32134	evidence5	Sie haben Hunger.	abendessen	0.11	5	1920	1080	Windows	Chrome	Englisch, Hebräisch	1	Female	47		Yes	5.1174
37	42982	evidence3	Sie sehen, wie jemand mit nassen Haaren und durchnässten Kleidern von draußen hereinkommt.	regen	0.92	6	1920	1080	Windows	Chrome	Englisch, Hebräisch	1	Female	47		Yes	5.1174
38	40818	evidence5	Sie wissen, dass sich die Nachbarn gerade einen Hund angeschafft haben.	hund	0.28	3	1360	768	Windows	Firefox	Deutsch	1	Male	28	Der Abstraktionsgrad der Fragen ist unsicher. Ich bin daher von der wahrscheinlichsten Antwort in meiner Lebenssituation ausgegangen.	Yes	4.54015
38	15902	evidence2	Sie können hören, wie Wasser auf das Dach prasselt.	regen	0.93	4	1360	768	Windows	Firefox	Deutsch	1	Male	28	Der Abstraktionsgrad der Fragen ist unsicher. Ich bin daher von der wahrscheinlichsten Antwort in meiner Lebenssituation ausgegangen.	Yes	4.54015
38	9908	evidence5	Sie haben Hunger.	abendessen	0	5	1360	768	Windows	Firefox	Deutsch	1	Male	28	Der Abstraktionsgrad der Fragen ist unsicher. Ich bin daher von der wahrscheinlichsten Antwort in meiner Lebenssituation ausgegangen.	Yes	4.54015
38	21028	evidence2	Sie berühren die Kaffeetasse und stellen fest, dass sie kalt ist.	kaffee	0.8	6	1360	768	Windows	Firefox	Deutsch	1	Male	28	Der Abstraktionsgrad der Fragen ist unsicher. Ich bin daher von der wahrscheinlichsten Antwort in meiner Lebenssituation ausgegangen.	Yes	4.54015
